hour,mean,std,p5,p25,p50,p75,p95
0,0.018077,0.009785,0.007764,0.009987,0.015088,0.026027,0.034788
1,0.034631,0.021419,0.010953,0.015271,0.032010,0.050685,0.070936
2,0.046446,0.015192,0.028583,0.034109,0.042220,0.056617,0.073774
3,0.051532,0.015200,0.033875,0.038992,0.048607,0.063781,0.078686
4,0.059047,0.017288,0.039912,0.043892,0.052035,0.072919,0.090188
5,0.071775,0.016908,0.053995,0.058804,0.064945,0.083562,0.104360
6,0.071017,0.011665,0.057191,0.062589,0.067826,0.077442,0.093448
7,0.067805,0.010461,0.055174,0.060332,0.065891,0.073930,0.086579
8,0.070777,0.011217,0.056476,0.064583,0.069173,0.075196,0.093853
9,0.068269,0.010926,0.050141,0.061363,0.067455,0.074671,0.087628
10,0.061041,0.009015,0.044062,0.055932,0.061841,0.065153,0.074392
11,0.053629,0.011404,0.032373,0.047575,0.057077,0.060712,0.065284
12,0.046952,0.011779,0.025362,0.038204,0.050556,0.056918,0.060958
13,0.042929,0.012149,0.022940,0.033489,0.045701,0.052257,0.059369
14,0.039123,0.013137,0.019357,0.027269,0.042298,0.050942,0.054765
15,0.035001,0.012940,0.015878,0.022717,0.038288,0.046997,0.050992
16,0.031059,0.012946,0.010714,0.019992,0.032848,0.042268,0.048125
17,0.030288,0.011508,0.010820,0.022410,0.034428,0.040219,0.044445
18,0.024132,0.010772,0.006387,0.013384,0.027021,0.033554,0.037620
19,0.022026,0.008461,0.007408,0.015341,0.023559,0.028730,0.033922
20,0.017743,0.007177,0.004350,0.012099,0.020857,0.023317,0.026535
21,0.015496,0.005513,0.006145,0.012377,0.015550,0.019368,0.023475
22,0.011334,0.005471,0.001566,0.008756,0.012374,0.014453,0.017368
23,0.009871,0.005100,0.001169,0.006878,0.010270,0.011843,0.016884
