hour,mean,std,p5,p25,p50,p75,p95
0,0.018860,0.021172,0.000000,0.011401,0.017944,0.022773,0.039339
1,0.047849,0.049454,0.000000,0.034534,0.046537,0.054780,0.105477
2,0.059010,0.050652,0.000000,0.043840,0.058955,0.068978,0.122461
3,0.061397,0.054086,0.000000,0.043655,0.058117,0.068524,0.143761
4,0.060153,0.046252,0.000000,0.051743,0.067277,0.079287,0.090286
5,0.084281,0.057429,0.000000,0.066682,0.077472,0.092830,0.199394
6,0.078035,0.041507,0.000000,0.067210,0.075713,0.090271,0.150960
7,0.058343,0.036785,0.000000,0.049532,0.063982,0.077499,0.090368
8,0.078062,0.063070,0.000000,0.060130,0.071678,0.086195,0.158634
9,0.072635,0.063026,0.000000,0.052072,0.063725,0.072453,0.180990
10,0.064493,0.060519,0.000000,0.046070,0.060619,0.066058,0.164830
11,0.041474,0.025172,0.000000,0.039286,0.045009,0.053779,0.071086
12,0.036924,0.026136,0.000000,0.024484,0.039301,0.046693,0.061411
13,0.042527,0.046878,0.000000,0.024668,0.034047,0.040945,0.155675
14,0.034100,0.036452,0.000000,0.021789,0.029486,0.038658,0.095747
15,0.024924,0.029046,0.000000,0.012222,0.022977,0.030681,0.042205
16,0.020449,0.022603,0.000000,0.001586,0.021389,0.026262,0.035444
17,0.032926,0.050774,0.000000,0.012957,0.021095,0.026002,0.157425
18,0.014824,0.012987,0.000000,0.006718,0.014350,0.020972,0.033026
19,0.017341,0.024698,0.000000,0.006811,0.014590,0.020217,0.027079
20,0.018894,0.027619,0.000000,0.007957,0.012639,0.018799,0.075672
21,0.013138,0.014074,0.000000,0.003614,0.011630,0.016680,0.025276
22,0.007897,0.006866,0.000000,0.000000,0.006909,0.013490,0.019371
23,0.011463,0.028880,0.000000,0.000301,0.007748,0.011778,0.018529
