hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0181,0.0098,0.0078,0.0100,0.0151,0.0260,0.0348,23.2077,12.5621,9.9680,12.8209,19.3695,33.4130,44.6611
1,0.0346,0.0214,0.0110,0.0153,0.0320,0.0507,0.0709,44.4588,27.4980,14.0608,19.6045,41.0945,65.0693,91.0670
2,0.0464,0.0152,0.0286,0.0341,0.0422,0.0566,0.0738,59.6269,19.5032,36.6946,43.7889,54.2022,72.6847,94.7103
3,0.0515,0.0152,0.0339,0.0390,0.0486,0.0638,0.0787,66.1562,19.5133,43.4883,50.0577,62.4007,81.8820,101.0168
4,0.0590,0.0173,0.0399,0.0439,0.0520,0.0729,0.0902,75.8047,22.1938,51.2391,56.3477,66.8017,93.6134,115.7825
5,0.0718,0.0169,0.0540,0.0588,0.0649,0.0836,0.1044,92.1441,21.7068,69.3178,75.4925,83.3763,107.2769,133.9771
6,0.0710,0.0117,0.0572,0.0626,0.0678,0.0774,0.0934,91.1706,14.9751,73.4218,80.3512,87.0749,99.4197,119.9676
7,0.0678,0.0105,0.0552,0.0603,0.0659,0.0739,0.0866,87.0478,13.4297,70.8321,77.4540,84.5909,94.9106,111.1494
8,0.0708,0.0112,0.0565,0.0646,0.0692,0.0752,0.0939,90.8626,14.4003,72.5034,82.9108,88.8038,96.5355,120.4876
9,0.0683,0.0109,0.0501,0.0614,0.0675,0.0747,0.0876,87.6426,14.0263,64.3708,78.7779,86.5978,95.8626,112.4964
10,0.0610,0.0090,0.0441,0.0559,0.0618,0.0652,0.0744,78.3643,11.5732,56.5665,71.8050,79.3916,83.6423,95.5044
11,0.0536,0.0114,0.0324,0.0476,0.0571,0.0607,0.0653,68.8490,14.6407,41.5602,61.0768,73.2746,77.9417,83.8117
12,0.0470,0.0118,0.0254,0.0382,0.0506,0.0569,0.0610,60.2768,15.1220,32.5590,49.0459,64.9031,73.0713,78.2573
13,0.0429,0.0121,0.0229,0.0335,0.0457,0.0523,0.0594,55.1114,15.5968,29.4505,42.9927,58.6702,67.0869,76.2174
14,0.0391,0.0131,0.0194,0.0273,0.0423,0.0509,0.0548,50.2263,16.8647,24.8502,35.0078,54.3024,65.3986,70.3066
15,0.0350,0.0129,0.0159,0.0227,0.0383,0.0470,0.0510,44.9341,16.6129,20.3835,29.1639,49.1536,60.3338,65.4627
16,0.0311,0.0129,0.0107,0.0200,0.0328,0.0423,0.0481,39.8736,16.6196,13.7539,25.6662,42.1697,54.2634,61.7825
17,0.0303,0.0115,0.0108,0.0224,0.0344,0.0402,0.0444,38.8830,14.7737,13.8908,28.7693,44.1987,51.6326,57.0585
18,0.0241,0.0108,0.0064,0.0134,0.0270,0.0336,0.0376,30.9810,13.8291,8.1999,17.1826,34.6898,43.0766,48.2962
19,0.0220,0.0085,0.0074,0.0153,0.0236,0.0287,0.0339,28.2767,10.8625,9.5104,19.6941,30.2450,36.8832,43.5484
20,0.0177,0.0072,0.0043,0.0121,0.0209,0.0233,0.0265,22.7784,9.2137,5.5843,15.5329,26.7762,29.9339,34.0656
21,0.0155,0.0055,0.0061,0.0124,0.0156,0.0194,0.0235,19.8932,7.0774,7.8895,15.8889,19.9635,24.8651,30.1374
22,0.0113,0.0055,0.0016,0.0088,0.0124,0.0145,0.0174,14.5503,7.0242,2.0104,11.2414,15.8859,18.5548,22.2970
23,0.0099,0.0051,0.0012,0.0069,0.0103,0.0118,0.0169,12.6728,6.5472,1.5014,8.8297,13.1845,15.2038,21.6750
