hour,mean,std,p5,p25,p50,p75,p95
0,0.006432,0.001691,0.004433,0.005149,0.005930,0.007636,0.009281
1,0.005963,0.001587,0.003322,0.005109,0.005821,0.006982,0.008359
2,0.018317,0.005394,0.011713,0.013845,0.017901,0.022175,0.027301
3,0.037950,0.003624,0.031713,0.035219,0.038398,0.040617,0.042628
4,0.045465,0.004612,0.035993,0.042629,0.045887,0.048532,0.052358
5,0.054097,0.004242,0.048221,0.051134,0.053227,0.056753,0.061615
6,0.066834,0.005315,0.057745,0.062612,0.068015,0.070759,0.074582
7,0.069052,0.006095,0.061367,0.064825,0.068329,0.071861,0.080311
8,0.066846,0.006432,0.057366,0.062577,0.065406,0.070652,0.077756
9,0.064075,0.006317,0.053318,0.059983,0.064178,0.067882,0.074327
10,0.061496,0.004640,0.053867,0.059587,0.061202,0.064612,0.068585
11,0.060306,0.004730,0.052386,0.057635,0.059769,0.064100,0.066651
12,0.058622,0.005268,0.050792,0.055155,0.058398,0.062067,0.065488
13,0.055559,0.005202,0.047499,0.051443,0.056992,0.060208,0.062620
14,0.053584,0.004174,0.047371,0.050851,0.053026,0.056768,0.059486
15,0.053702,0.004530,0.047429,0.050788,0.054234,0.056986,0.059934
16,0.048749,0.003939,0.042544,0.046775,0.049212,0.051127,0.054115
17,0.044179,0.003515,0.038059,0.041886,0.043934,0.046827,0.049697
18,0.038182,0.004336,0.031354,0.034934,0.038107,0.040601,0.046323
19,0.032447,0.004075,0.026252,0.029710,0.032154,0.034301,0.040226
20,0.024101,0.003398,0.018349,0.021934,0.023921,0.026936,0.029263
21,0.015736,0.002685,0.011493,0.013732,0.016068,0.017520,0.019903
22,0.010478,0.001865,0.007557,0.009166,0.010463,0.011835,0.013349
23,0.007828,0.001488,0.005463,0.006891,0.008061,0.008860,0.010151
