hour,mean,std,p5,p25,p50,p75,p95
0,0.042155,0.000191,0.041764,0.042022,0.042183,0.042296,0.042424
1,0.041916,0.000231,0.041511,0.041788,0.041915,0.042057,0.042265
2,0.041747,0.000223,0.041392,0.041597,0.041734,0.041891,0.042078
3,0.041547,0.000247,0.041149,0.041407,0.041570,0.041664,0.041917
4,0.041354,0.000305,0.040786,0.041186,0.041384,0.041544,0.041782
5,0.041188,0.000326,0.040590,0.040986,0.041238,0.041456,0.041640
6,0.041083,0.000313,0.040550,0.040871,0.041139,0.041312,0.041511
7,0.041075,0.000324,0.040521,0.040899,0.041072,0.041307,0.041547
8,0.041208,0.000327,0.040639,0.041010,0.041246,0.041445,0.041685
9,0.041291,0.000262,0.040873,0.041123,0.041301,0.041483,0.041710
10,0.041344,0.000271,0.040845,0.041186,0.041349,0.041503,0.041817
11,0.041494,0.000245,0.041120,0.041343,0.041495,0.041628,0.041961
12,0.041602,0.000211,0.041322,0.041461,0.041586,0.041705,0.041982
13,0.041620,0.000231,0.041251,0.041471,0.041622,0.041755,0.041987
14,0.041639,0.000198,0.041317,0.041538,0.041659,0.041739,0.041990
15,0.041652,0.000186,0.041371,0.041509,0.041666,0.041759,0.041969
16,0.041689,0.000161,0.041439,0.041583,0.041679,0.041798,0.041964
17,0.041779,0.000180,0.041536,0.041632,0.041769,0.041922,0.042083
18,0.041856,0.000197,0.041580,0.041695,0.041829,0.042002,0.042207
19,0.041969,0.000212,0.041655,0.041825,0.041959,0.042090,0.042375
20,0.042119,0.000221,0.041790,0.041962,0.042087,0.042297,0.042508
21,0.042205,0.000191,0.041936,0.042043,0.042202,0.042366,0.042508
22,0.042234,0.000194,0.041951,0.042096,0.042226,0.042395,0.042539
23,0.042235,0.000200,0.041947,0.042073,0.042236,0.042413,0.042539
