hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0189,0.0212,0.0000,0.0114,0.0179,0.0228,0.0393,24.2125,27.1801,0.0000,14.6364,23.0370,29.2359,50.5028
1,0.0478,0.0495,0.0000,0.0345,0.0465,0.0548,0.1055,61.4285,63.4886,0.0000,44.3343,59.7432,70.3268,135.4107
2,0.0590,0.0507,0.0000,0.0438,0.0590,0.0690,0.1225,75.7560,65.0268,0.0000,56.2819,75.6860,88.5532,157.2141
3,0.0614,0.0541,0.0000,0.0437,0.0581,0.0685,0.1438,78.8208,69.4351,0.0000,56.0434,74.6108,87.9712,184.5587
4,0.0602,0.0463,0.0000,0.0517,0.0673,0.0793,0.0903,77.2244,59.3779,0.0000,66.4271,86.3692,101.7876,115.9085
5,0.0843,0.0574,0.0000,0.0667,0.0775,0.0928,0.1994,108.1990,73.7264,0.0000,85.6065,99.4586,119.1742,255.9802
6,0.0780,0.0415,0.0000,0.0672,0.0757,0.0903,0.1510,100.1813,53.2869,0.0000,86.2833,97.1995,115.8890,193.8013
7,0.0583,0.0368,0.0000,0.0495,0.0640,0.0775,0.0904,74.8998,47.2240,0.0000,63.5893,82.1399,99.4932,116.0136
8,0.0781,0.0631,0.0000,0.0601,0.0717,0.0862,0.1586,100.2149,80.9694,0.0000,77.1949,92.0202,110.6565,203.6531
9,0.0726,0.0630,0.0000,0.0521,0.0637,0.0725,0.1810,93.2484,80.9119,0.0000,66.8492,81.8099,93.0145,232.3542
10,0.0645,0.0605,0.0000,0.0461,0.0606,0.0661,0.1648,82.7956,77.6940,0.0000,59.1441,77.8225,84.8049,211.6077
11,0.0415,0.0252,0.0000,0.0393,0.0450,0.0538,0.0711,53.2441,32.3162,0.0000,50.4355,57.7828,69.0417,91.2592
12,0.0369,0.0261,0.0000,0.0245,0.0393,0.0467,0.0614,47.4030,33.5530,0.0000,31.4319,50.4550,59.9446,78.8389
13,0.0425,0.0469,0.0000,0.0247,0.0340,0.0409,0.1557,54.5964,60.1820,0.0000,31.6688,43.7095,52.5649,199.8550
14,0.0341,0.0365,0.0000,0.0218,0.0295,0.0387,0.0957,43.7775,46.7963,0.0000,27.9730,37.8541,49.6288,122.9190
15,0.0249,0.0290,0.0000,0.0122,0.0230,0.0307,0.0422,31.9967,37.2890,0.0000,15.6904,29.4982,39.3883,54.1827
16,0.0204,0.0226,0.0000,0.0016,0.0214,0.0263,0.0354,26.2527,29.0170,0.0000,2.0357,27.4584,33.7144,45.5027
17,0.0329,0.0508,0.0000,0.0130,0.0211,0.0260,0.1574,42.2707,65.1832,0.0000,16.6345,27.0822,33.3816,202.1013
18,0.0148,0.0130,0.0000,0.0067,0.0144,0.0210,0.0330,19.0306,16.6724,0.0000,8.6241,18.4229,26.9233,42.3991
19,0.0173,0.0247,0.0000,0.0068,0.0146,0.0202,0.0271,22.2628,31.7066,0.0000,8.7444,18.7308,25.9546,34.7645
20,0.0189,0.0276,0.0000,0.0080,0.0126,0.0188,0.0757,24.2558,35.4564,0.0000,10.2156,16.2258,24.1334,97.1474
21,0.0131,0.0141,0.0000,0.0036,0.0116,0.0167,0.0253,16.8663,18.0679,0.0000,4.6401,14.9311,21.4136,32.4489
22,0.0079,0.0069,0.0000,0.0000,0.0069,0.0135,0.0194,10.1384,8.8140,0.0000,0.0000,8.8696,17.3185,24.8679
23,0.0115,0.0289,0.0000,0.0003,0.0077,0.0118,0.0185,14.7165,37.0757,0.0000,0.3867,9.9473,15.1201,23.7868
