hour,mean,std,p5,p25,p50,p75,p95
0,0.015043,0.029978,0.000000,0.000000,0.000000,0.016063,0.085226
1,0.033755,0.047546,0.000000,0.000000,0.000000,0.061137,0.118465
2,0.057439,0.071396,0.000000,0.000000,0.036312,0.094642,0.189749
3,0.048916,0.052251,0.000000,0.000000,0.035714,0.087101,0.150352
4,0.048190,0.051464,0.000000,0.000000,0.032641,0.071923,0.153407
5,0.078628,0.070344,0.000000,0.000174,0.078367,0.134785,0.180607
6,0.090202,0.082336,0.000000,0.020068,0.079551,0.129715,0.241951
7,0.062606,0.051334,0.000000,0.000000,0.076695,0.097086,0.140189
8,0.086576,0.067324,0.000000,0.034628,0.076353,0.123743,0.216173
9,0.095858,0.072118,0.000000,0.051981,0.091827,0.141104,0.215195
10,0.074969,0.069858,0.000000,0.000909,0.061184,0.120198,0.216807
11,0.060906,0.059860,0.000000,0.000516,0.046085,0.097165,0.146753
12,0.068194,0.070415,0.000000,0.000000,0.063312,0.101887,0.204944
13,0.036535,0.046871,0.000000,0.000000,0.003195,0.065851,0.137503
14,0.023515,0.051952,0.000000,0.000000,0.000000,0.028833,0.109218
15,0.036983,0.062055,0.000000,0.000000,0.000000,0.059490,0.155811
16,0.020727,0.038753,0.000000,0.000000,0.000000,0.030979,0.108534
17,0.011420,0.031648,0.000000,0.000000,0.000000,0.000000,0.086952
18,0.013696,0.039562,0.000000,0.000000,0.000000,0.000000,0.094558
19,0.013230,0.036621,0.000000,0.000000,0.000000,0.000000,0.098402
20,0.007065,0.022415,0.000000,0.000000,0.000000,0.000000,0.054860
21,0.006539,0.022313,0.000000,0.000000,0.000000,0.000000,0.049369
22,0.007020,0.021883,0.000000,0.000000,0.000000,0.000000,0.052440
23,0.001989,0.007717,0.000000,0.000000,0.000000,0.000000,0.016205
