hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0064,0.0017,0.0044,0.0051,0.0059,0.0076,0.0093,8.2578,2.1711,5.6908,6.6101,7.6131,9.8029,11.9152
1,0.0060,0.0016,0.0033,0.0051,0.0058,0.0070,0.0084,7.6553,2.0367,4.2645,6.5595,7.4733,8.9639,10.7314
2,0.0183,0.0054,0.0117,0.0138,0.0179,0.0222,0.0273,23.5154,6.9245,15.0372,17.7739,22.9813,28.4678,35.0486
3,0.0379,0.0036,0.0317,0.0352,0.0384,0.0406,0.0426,48.7196,4.6522,40.7123,45.2144,49.2948,52.1439,54.7259
4,0.0455,0.0046,0.0360,0.0426,0.0459,0.0485,0.0524,58.3677,5.9212,46.2078,54.7270,58.9089,62.3053,67.2169
5,0.0541,0.0042,0.0482,0.0511,0.0532,0.0568,0.0616,69.4499,5.4454,61.9063,65.6458,68.3325,72.8586,79.1013
6,0.0668,0.0053,0.0577,0.0626,0.0680,0.0708,0.0746,85.8011,6.8238,74.1328,80.3809,87.3172,90.8403,95.7482
7,0.0691,0.0061,0.0614,0.0648,0.0683,0.0719,0.0803,88.6480,7.8241,78.7832,83.2217,87.7198,92.2552,103.1022
8,0.0668,0.0064,0.0574,0.0626,0.0654,0.0707,0.0778,85.8168,8.2575,73.6463,80.3358,83.9675,90.7025,99.8232
9,0.0641,0.0063,0.0533,0.0600,0.0642,0.0679,0.0743,82.2587,8.1096,68.4488,77.0062,82.3911,87.1462,95.4201
10,0.0615,0.0046,0.0539,0.0596,0.0612,0.0646,0.0686,78.9479,5.9568,69.1547,76.4977,78.5705,82.9483,88.0493
11,0.0603,0.0047,0.0524,0.0576,0.0598,0.0641,0.0667,77.4203,6.0729,67.2526,73.9919,76.7312,82.2909,85.5667
12,0.0586,0.0053,0.0508,0.0552,0.0584,0.0621,0.0655,75.2579,6.7627,65.2068,70.8082,74.9713,79.6809,84.0728
13,0.0556,0.0052,0.0475,0.0514,0.0570,0.0602,0.0626,71.3267,6.6788,60.9792,66.0427,73.1655,77.2947,80.3905
14,0.0536,0.0042,0.0474,0.0509,0.0530,0.0568,0.0595,68.7903,5.3590,60.8145,65.2828,68.0746,72.8780,76.3677
15,0.0537,0.0045,0.0474,0.0508,0.0542,0.0570,0.0599,68.9425,5.8160,60.8887,65.2009,69.6249,73.1587,76.9435
16,0.0487,0.0039,0.0425,0.0468,0.0492,0.0511,0.0541,62.5830,5.0570,54.6172,60.0497,63.1778,65.6368,69.4718
17,0.0442,0.0035,0.0381,0.0419,0.0439,0.0468,0.0497,56.7173,4.5125,48.8604,53.7732,56.4020,60.1161,63.8002
18,0.0382,0.0043,0.0314,0.0349,0.0381,0.0406,0.0463,49.0178,5.5661,40.2520,44.8476,48.9215,52.1239,59.4688
19,0.0324,0.0041,0.0263,0.0297,0.0322,0.0343,0.0402,41.6552,5.2318,33.7024,38.1415,41.2791,44.0356,51.6422
20,0.0241,0.0034,0.0183,0.0219,0.0239,0.0269,0.0293,30.9402,4.3625,23.5563,28.1591,30.7101,34.5805,37.5682
21,0.0157,0.0027,0.0115,0.0137,0.0161,0.0175,0.0199,20.2024,3.4467,14.7547,17.6285,20.6274,22.4920,25.5513
22,0.0105,0.0019,0.0076,0.0092,0.0105,0.0118,0.0133,13.4516,2.3948,9.7010,11.7674,13.4324,15.1943,17.1373
23,0.0078,0.0015,0.0055,0.0069,0.0081,0.0089,0.0102,10.0495,1.9098,7.0140,8.8461,10.3493,11.3746,13.0317
