hour,mean,std,p5,p25,p50,p75,p95,mean_MW,std_MW,p5_MW,p25_MW,p50_MW,p75_MW,p95_MW
0,0.0150,0.0300,0.0000,0.0000,0.0000,0.0161,0.0852,19.3121,38.4856,0.0000,0.0000,0.0000,20.6221,109.4124
1,0.0338,0.0475,0.0000,0.0000,0.0000,0.0611,0.1185,43.3348,61.0397,0.0000,0.0000,0.0000,78.4873,152.0851
2,0.0574,0.0714,0.0000,0.0000,0.0363,0.0946,0.1897,73.7395,91.6576,0.0000,0.0000,46.6168,121.5002,243.5987
3,0.0489,0.0523,0.0000,0.0000,0.0357,0.0871,0.1504,62.7986,67.0790,0.0000,0.0000,45.8495,111.8197,193.0213
4,0.0482,0.0515,0.0000,0.0000,0.0326,0.0719,0.1534,61.8663,66.0691,0.0000,0.0000,41.9038,92.3341,196.9424
5,0.0786,0.0703,0.0000,0.0002,0.0784,0.1348,0.1806,100.9422,90.3065,0.0000,0.2231,100.6066,173.0360,231.8614
6,0.0902,0.0823,0.0000,0.0201,0.0796,0.1297,0.2420,115.8004,105.7029,0.0000,25.7628,102.1270,166.5278,310.6145
7,0.0626,0.0513,0.0000,0.0000,0.0767,0.0971,0.1402,80.3726,65.9017,0.0000,0.0000,98.4611,124.6381,179.9730
8,0.0866,0.0673,0.0000,0.0346,0.0764,0.1237,0.2162,111.1455,86.4304,0.0000,44.4550,98.0218,158.8599,277.5215
9,0.0959,0.0721,0.0000,0.0520,0.0918,0.1411,0.2152,123.0620,92.5841,0.0000,66.7328,117.8864,181.1477,276.2657
10,0.0750,0.0699,0.0000,0.0009,0.0612,0.1202,0.2168,96.2448,89.6830,0.0000,1.1665,78.5470,154.3089,278.3347
11,0.0609,0.0599,0.0000,0.0005,0.0461,0.0972,0.1468,78.1903,76.8482,0.0000,0.6629,59.1639,124.7403,188.4001
12,0.0682,0.0704,0.0000,0.0000,0.0633,0.1019,0.2049,87.5473,90.3986,0.0000,0.0000,81.2796,130.8013,263.1063
13,0.0365,0.0469,0.0000,0.0000,0.0032,0.0659,0.1375,46.9030,60.1722,0.0000,0.0000,4.1018,84.5390,176.5248
14,0.0235,0.0520,0.0000,0.0000,0.0000,0.0288,0.1092,30.1885,66.6953,0.0000,0.0000,0.0000,37.0152,140.2135
15,0.0370,0.0621,0.0000,0.0000,0.0000,0.0595,0.1558,47.4791,79.6652,0.0000,0.0000,0.0000,76.3726,200.0296
16,0.0207,0.0388,0.0000,0.0000,0.0000,0.0310,0.1085,26.6090,49.7514,0.0000,0.0000,0.0000,39.7707,139.3348
17,0.0114,0.0316,0.0000,0.0000,0.0000,0.0000,0.0870,14.6609,40.6293,0.0000,0.0000,0.0000,0.0000,111.6287
18,0.0137,0.0396,0.0000,0.0000,0.0000,0.0000,0.0946,17.5823,50.7896,0.0000,0.0000,0.0000,0.0000,121.3928
19,0.0132,0.0366,0.0000,0.0000,0.0000,0.0000,0.0984,16.9842,47.0139,0.0000,0.0000,0.0000,0.0000,126.3273
20,0.0071,0.0224,0.0000,0.0000,0.0000,0.0000,0.0549,9.0695,28.7758,0.0000,0.0000,0.0000,0.0000,70.4288
21,0.0065,0.0223,0.0000,0.0000,0.0000,0.0000,0.0494,8.3951,28.6449,0.0000,0.0000,0.0000,0.0000,63.3795
22,0.0070,0.0219,0.0000,0.0000,0.0000,0.0000,0.0524,9.0116,28.0931,0.0000,0.0000,0.0000,0.0000,67.3221
23,0.0020,0.0077,0.0000,0.0000,0.0000,0.0000,0.0162,2.5535,9.9071,0.0000,0.0000,0.0000,0.0000,20.8036
